Angle (rad) Run #1	Light Intensity (%) Run #1
-0.936	97.8
-0.938	97.8
-0.941	97.8
-0.944	97.8
-0.946	97.8
-0.947	97.8
-0.949	97.8
-0.950	97.7
-0.952	97.8
-0.952	97.8
-0.952	97.8
-0.952	97.8
-0.952	97.8
-0.952	97.8
-0.953	97.8
-0.955	97.8
-0.957	97.8
-0.960	97.8
-0.963	97.8
-0.968	97.8
-0.971	97.8
-0.974	97.8
-0.979	97.8
-0.980	97.8
-0.980	97.8
-0.983	97.8
-0.985	97.8
-0.986	97.8
-0.990	97.8
-0.991	97.8
-0.994	97.8
-0.996	97.8
-0.999	97.8
-1.002	97.8
-1.008	97.8
-1.012	97.8
-1.015	97.8
-1.018	97.8
-1.021	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.024	97.8
-1.026	97.8
-1.027	97.8
-1.029	97.8
-1.030	97.8
-1.032	97.8
-1.035	97.8
-1.038	97.8
-1.043	97.8
-1.048	97.8
-1.051	97.8
-1.056	97.8
-1.057	97.8
-1.059	97.8
-1.060	97.8
-1.062	97.8
-1.063	97.8
-1.065	97.8
-1.067	97.8
-1.068	97.8
-1.071	97.8
-1.074	97.8
-1.076	97.8
-1.078	97.8
-1.081	97.8
-1.084	97.8
-1.087	97.8
-1.090	97.8
-1.095	97.8
-1.100	97.8
-1.104	97.8
-1.107	97.8
-1.111	97.8
-1.114	97.8
-1.115	97.8
-1.118	97.8
-1.120	97.8
-1.123	97.8
-1.125	97.8
-1.128	97.8
-1.129	97.8
-1.131	97.8
-1.133	97.8
-1.134	97.7
-1.136	97.8
-1.137	97.8
-1.139	97.8
-1.140	97.8
-1.144	97.7
-1.145	97.8
-1.147	97.8
-1.148	97.8
-1.150	97.8
-1.151	97.8
-1.153	97.8
-1.153	97.8
-1.155	97.8
-1.155	97.8
-1.155	97.8
-1.155	97.8
-1.155	97.8
-1.156	97.8
-1.156	97.8
-1.158	97.8
-1.159	97.8
-1.159	97.8
-1.161	97.8
-1.162	97.8
-1.162	97.8
